Country,ISO,Raw: CDI,Inc.Adj: CDI,Raw: Development Finance,Raw: Investment,Raw: Migration,Raw: Trade,Raw: Environment,Raw: Health,Raw: Security,Raw: Technology,Inc.Adj: Development Finance,Inc.Adj: Investment,Inc.Adj: Migration,Inc.Adj: Trade,Inc.Adj: Environment,Inc.Adj: Health,Inc.Adj: Security,Inc.Adj: Technology
Argentina,ARG,0,17.7305442,35.61584616,18.55891796,31.49961183,9.16939152,56.70848337,0,26.08073238,37.85610405,56.3433379,33.19922871,44.42630868,31.32672146,56.21893396,0,33.27078462,39.65926352
Australia,AUS,70.76763103,58.05492341,46.5796302,72.28364211,34.94944596,94.00398934,45.7495024,95.99261967,61.31693907,69.94664635,22.88570308,70.01805855,18.1550521,93.14066845,45.85156201,96.13139288,45.41688571,62.1098595
Austria,AUT,82.80843613,80.66588142,50.72802924,61.69561533,73.97875917,75.27776897,84.87204523,82.87613175,84.84364526,60.91595309,36.84922246,62.04928751,66.03814398,77.71640539,84.82936679,82.98087729,71.54249003,54.43253028
Belgium,BEL,72.81139034,68.68701162,78.09840846,43.00426208,78.48982662,77.62311622,69.24891425,88.48666568,54.9880389,46.09713466,76.85999807,42.43993934,71.28022645,80.52592496,69.2216291,88.55877313,43.03757394,38.9290268
Brazil,BRA,28.65432015,56.69429374,14.21851395,68.84951905,25.83692103,11.09259083,63.88625386,56.03626975,60.44879808,38.90221337,28.9508776,87.88392654,40.34411724,35.56969483,63.34580075,55.72092977,67.86840321,41.57557325
Canada,CAN,81.85569454,80.41902612,55.37693523,92.40102745,65.82423402,76.36310959,53.84506268,83.33839211,76.1014963,67.3624282,44.54138309,94.95295426,57.64132065,79.48428762,53.83184867,83.42898585,63.56682564,61.44445627
Chile,CHL,40.13311393,64.77720805,45.41033207,51.4021687,36.4922396,69.1427787,90.06700297,44.27479423,34.53860653,24.86254532,67.64832802,66.80962928,48.18871114,94.54356807,89.56696997,44.0949556,40.14323679,25.31958463
China,CHN,8.592479824,27.91944028,7.798134823,28.62222239,11.51547797,45.52707543,71.46900434,12.16090768,34.23267439,41.64572769,15.6368023,43.65390829,22.09743715,70.40704168,70.96577109,12.1079115,40.89090725,43.53711378
Czech Republic,CZE,64.77958904,84.42729112,47.88063734,50.08755953,89.77295237,69.73589523,80.96799208,78.73788847,50.9483791,35.55787567,59.86880685,60.79977703,100,88.26343065,80.61280396,78.52999331,50.91624392,33.9712827
Denmark,DNK,71.43409213,49.25513608,88.04185285,56.67141543,46.36256692,76.10354119,70.83786208,79.08255672,82.10010865,34.59839225,72.83057437,49.42180601,24.63898833,67.655591,71.02392577,79.42596109,60.99045185,22.58648018
Finland,FIN,85.62356243,85.85929265,70.80604033,65.76600702,62.34160936,84.31215062,79.56635915,100,100,34.32316433,67.64186455,67.07715516,54.28690071,88.57863551,79.50999213,100,86.88998264,26.8350316
