Country,ISO,Raw: CDI,CDI: Income Adjusted,Development Finance Quality,Development Finance Quantity,Financial Secrecy,Business & Human Rights,Natural Resources ,Anti-corruption,Investment Agreements,Corporate Tax Rate Alignment,Migrant Inflow,Female Immigrants,Refugee Hosting,International Migration Conventions,Integration Policies,Tariff Average,Tariff Peaks,Agricultural Subsidies,Trade Logistics,Services Trade Restrictiveness,Greenhouse Gas Emissions,NDC Ambition,Fossil Fuel Production,Fossil Fuel Support,Carbon Pricing,Fishing subsidies,International Environmental Conventions,Antimicrobial Resistance,Vaccination Coverage,Pandemic Preparedness,Treaties,Export Restrictions on Food and Health,Tobacco Supply Chains,Peacekeeping Contributions,Female Peacekeepers,Sea Lanes Protection,Arms Trade,International Security Conventions,Government Support,Tax Incentives,Foreign Students,Female Students,Research Collaboration,Intellectual Property Rights
Argentina,ARG,0,17.7305442,61.22975961,0.648718352,19.70493357,50,16.66666667,33.33333333,19.32144911,100,2.604899844,100,0.246008198,33.33333333,63.15789474,9.024913,0,100,6.25,62.39554246,-7.809236081,37.9645801,-4.847527516,-0.005512814,0.815857096,88.18027978,22.22222222,51.14922771,0,83.33333333,58.3325,-8.542297037,0,0.005735308,35.55081863,0,0,85.71428571,17.77417081,3.341658392,7.626755725,100,22.6337693,69.3877551
Australia,AUS,70.76763103,58.05492341,63.41572917,18.15885366,61.76887471,66.66666667,66.66666667,66.66666667,37.8913567,100,24.97276831,71.25181156,3.012360614,0,72.36842105,99.9181858,100,95.37171801,78.125,80.68224651,-17.53808629,62.53299455,-54.0622987,-0.005039997,0,91.9176352,66.66666667,77.6193261,85.8974359,100,58.3325,0,55.12820513,0.010667159,73.06282456,5.91909772,49.14946648,100,23.95742306,30.63362722,71.41317795,53.55501426,19.99272195,65.30612245
Austria,AUT,82.80843613,80.66588142,60.83488116,28.52232912,92.72250153,50,33.33333333,33.33333333,22.40786241,93.71287098,63.73919583,66.86442423,78.9979847,0,47.36842105,96.49605227,95.13464767,79.66327146,71.875,59.68894154,-9.32831238,70.67894266,-0.515745722,-0.003169388,40.66971261,87.19127635,77.77777778,82.5690271,74.35897436,0,83.3325,-0.635382616,96.15384615,0.036900651,12.4748486,0,89.89970995,100,88.60439457,53.45759088,17.41443495,75.13126943,0,8.163265306
Belgium,BEL,72.81139034,68.68701162,93.81831314,42.04227223,96.94345064,83.33333333,66.66666667,0,21.62162162,12.22341795,64.48130501,63.79911152,39.64379967,66.66666667,77.63157895,96.49605227,95.13464767,76.68669151,84.375,59.02751602,-17.11452234,70.67894266,-0.325856382,-0.0090956,23.75008003,83.1361872,100,85.72797111,76.92307692,33.33333333,83.3325,-1.243654743,92.30769231,0.012324899,12.44285762,8.111414311,55.27956555,100,41.04024229,63.62532406,21.89604038,91.45061345,9.553476291,8.163265306
Brazil,BRA,28.65432015,56.69429374,25.66796324,0.802695165,39.93637931,50,33.33333333,33.33333333,100,100,2.707502439,56.4699864,3.119211143,33.33333333,71.05263158,10.85478555,7.868432212,96.82131231,25,48.54881266,-7.465237777,77.54361914,-3.359796131,-0.002260927,0,11.0137758,44.44444444,40.27546913,43.58974359,33.33333333,75,-1.444646302,92.30769231,0.00158305,42.09657644,0,96.39021689,85.71428571,45.77428932,15.96471572,0.738338423,45.46746001,16.4418198,69.3877551
Canada,CAN,81.85569454,80.41902612,71.81747542,24.91718288,80.69037073,50,66.66666667,33.33333333,86.48648649,100,58.45860066,66.60863822,13.13091732,33.33333333,92.10526316,70.15510129,83.57430343,91.00880505,93.75,67.50848096,-17.98901536,87.72585083,-35.22435154,-0.001731952,19.08388471,68.04009383,66.66666667,63.1973332,65.38461538,100,75,-0.608272127,55.12820513,0.011241698,73.19887312,9.172013672,84.09784553,100,36.74479786,39.04741584,50.24743366,46.70975864,12.76355143,78.13411079
Chile,CHL,40.13311393,64.77720805,76.15977334,2.057004034,45.03062824,100,0,33.33333333,50.54405054,100,51.82494726,54.28433998,0.331066305,0,56.57894737,90.4576986,100,94.48723684,15.625,78.74104787,-2.736912609,58.65873157,-0.305159654,-9.48031E-06,0.002841883,99.44295796,66.66666667,29.89146672,58.97435897,33.33333333,33.3325,0,35.8974359,0.003135424,71.08373808,0,1.7987687,97.95918367,0,12.58898092,3.330137267,79.51584883,19.22150132,74.48979592
China,CHN,8.592479824,27.91944028,13.59257968,2.389882815,71.80802346,16.66666667,33.33333333,0,38.12233286,48.01646763,0.025381065,95.58558575,0,0,28.94736842,57.47390012,80.11605159,93.86858422,62.5,20.58047493,-9.432525038,62.19091227,-7.562594937,-0.001424297,0.005361093,80.19959984,66.66666667,12.06993617,92.30769231,0,33.3325,-7.086640346,58.97435897,0.00912591,9.081880593,0,70.76224718,28.57142857,29.13264807,82.42209982,0.297653252,40.22773794,9.109422174,76.19047619
Czech Republic,CZE,64.77958904,84.42729112,71.12537497,12.06466599,81.80625383,83.33333333,33.33333333,0,22.16216216,85.56392568,74.46142967,85.68687215,90.18345542,0,52.63157895,96.49605227,95.13464767,73.80209594,21.875,97.06441944,-10.51442571,70.67894266,-3.713701252,-0.003142082,14.21552992,87.19127635,88.88888889,50.51473381,82.05128205,33.33333333,83.3325,-0.635382616,92.30769231,0.010942329,71.3981858,0,27.12792372,100,42.30265425,30.83602454,19.92922968,68.57270814,10.94761168,8.163265306
Denmark,DNK,71.43409213,49.25513608,88.1381924,66.3278275,85.00835316,83.33333333,66.66666667,0,14.15233415,89.63839833,31.94701625,74.32029385,29.33994543,33.33333333,50,96.49605227,95.13464767,51.48791363,90.625,82.30305315,-9.962308175,70.67894266,-2.468013925,-0.003496489,31.54675085,85.64388057,44.44444444,48.34351748,89.74358974,33.33333333,83.3325,-0.5593486,83.97435897,0.024576633,36.8692617,7.565124082,90.42177363,100,63.04957168,3.826556013,9.525996364,75.19476476,0.895497374,8.163265306
Finland,FIN,85.62356243,85.85929265,85.80262363,37.59312811,88.06490251,83.33333333,66.66666667,0,36.56019656,81.48945303,25.72949286,53.17654148,42.55671257,33.33333333,98.68421053,96.49605227,95.13464767,84.11081088,90.625,62.92875989,-12.3871116,70.67894266,-0.460734037,-0.004005299,76.7521562,0,100,85.70951642,80.76923077,66.66666667,83.3325,-0.407280569,87.82051282,0.057449917,15.2706823,0,96.73631083,85.71428571,58.3083472,6.77395718,20.93892231,45.39808158,6.025580878,8.163265306
France,FRA,82.57413814,89.68067683,70.66704163,39.81333451,88.35600245,83.33333333,66.66666667,66.66666667,47.02702703,100,18.7128813,61.68099122,27.35257988,16.66666667,60.52631579,96.49605227,95.13464767,72.96389669,68.75,69.78891821,-6.135021083,70.67894266,-0.240019309,-0.007848856,43.98624933,85.28832799,66.66666667,64.77589119,88.46153846,33.33333333,83.3325,-1.015552696,100,0.018540832,21.5156131,27.72684878,64.38734625,100,52.70969267,80.67933608,33.92870813,63.27359605,11.40785052,8.163265306
Germany,DEU,98.21571912,100,78.38459527,50.59119493,78.21602125,100,100,66.66666667,9.434889435,92.89797645,80.15065429,64.48900153,86.78966954,66.66666667,63.15789474,96.49605227,95.13464767,78.58690845,90.625,89.74745571,-9.89705683,79.66637694,-2.167456099,-0.003803868,42.90441914,75.70776505,88.88888889,61.98210191,82.05128205,83.33333333,83.3325,-0.787450648,84.61538462,0.016752915,21.4439647,12.8167793,70.97552866,100,72.02487358,65.92418921,26.22982532,45.02804054,3.930260308,8.163265306
Greece,GRC,49.75688106,70.30339364,76.82572553,14.54115173,95.19685101,50,33.33333333,33.33333333,17.51351351,89.63839833,15.20439502,36.1445962,55.88090833,33.33333333,47.36842105,96.49605227,95.13464767,54.1435959,50,56.50207312,-6.612262827,70.67894266,-0.73386626,-0.023776804,23.45148414,58.64117371,100,0,79.48717949,0,58.3325,-0.331246553,53.84615385,0.026805453,39.40002716,25.20258798,80.20609103,71.42857143,47.04146517,29.40379069,3.628638824,71.16880893,7.428554167,8.163265306
Hungary,HUN,43.77087962,65.63475272,41.96189981,3.581162161,68.99785653,50,33.33333333,0,51.3022113,36.67025386,12.75125521,53.44800886,19.34003258,0,43.42105263,96.49605227,95.13464767,54.60039533,15.625,56.64835855,-7.733827868,70.67894266,-1.244939891,-0.000886363,17.02135428,87.19127635,88.88888889,32.80870108,100,0,58.3325,-1.167620727,100,0.045069367,33.04870087,0,97.99452692,85.71428571,33.13476709,21.65592744,29.18639153,65.44955061,15.27150718,8.163265306
