Country,ISO,Raw: CDI,Inc.Adj: CDI,Development Finance Quantity,Development Finance Quantity missing data,Tied Status,Tied Status missing data,Transparency,Transparency missing data,Multilateral Support,Multilateral Support missing data,Country Ownership,Country Ownership missing data,Poverty Focus,Poverty Focus missing data,Fragility Focus,Fragility Focus missing data,Banking Secrecy,Banking Secrecy missing data,Country by Country Reporting,Country by Country Reporting missing data,Public Statistics,Public Statistics missing data,Anti-Money Laundering,Anti-Money Laundering missing data,Automatic Exchange of Information,Automatic Exchange of Information missing data,Bilateral Treaties,Bilateral Treaties missing data,International Legal Cooperation,International Legal Cooperation missing data,Beneficial Ownership,Beneficial Ownership missing data,Business & Human Rights,Business & Human Rights missing data,Natural Resources,Natural Resources missing data,Anti-Corruption,Anti-Corruption missing data,Investment Agreements,Investment Agreements missing data,Corporate Tax Rate Alignment,Corporate Tax Rate Alignment missing data,Migrant inflow,Migrant inflow missing data,Female Immigrants,Female Immigrants missing data,Refugee Hosting,Refugee Hosting missing data,International Migration Agreements,International Migration Agreements missing data,Integration Policies,Integration Policies missing data,Tariff Average,Tariff Average missing data,Tariff Peaks,Tariff Peaks missing data,Agricultural Subsidies,Agricultural Subsidies missing data,Customs,Customs missing data,Infrastructure,Infrastructure missing data,Services Trade Restrictiveness,Services Trade Restrictiveness missing data,Emissions (excluding LULUCF),Emissions (excluding LULUCF) missing data,NDC Ambition,NDC Ambition missing data,Emissions from LULUCF,Emissions from LULUCF missing data,Emissions from Trade,Emissions from Trade missing data,Oil Production,Oil Production missing data,Gas Production,Gas Production missing data,Coal Production,Coal Production missing data,Support to Oil,Support to Oil missing data,Support to Gas,Support to Gas missing data,Support to Coal,Support to Coal missing data,Support to Electricity,Support to Electricity missing data,Carbon Pricing,Carbon Pricing missing data,Fishing Subsidies,Fishing Subsidies missing data,Biodiversity and Environmental Agreements,Biodiversity and Environmental Agreements missing data,Antibiotic Consumption in Humans,Antibiotic Consumption in Humans missing data,Antibiotic Consumption in Livestock Animals,Antibiotic Consumption in Livestock Animals missing data,AMR Governance,AMR Governance missing data,Measles Vaccine (MCV2) Coverage,Measles Vaccine (MCV2) Coverage missing data,"Diphtheria, Tetanus Toxoid, and Pertussis Vaccine (DTP3) Coverage","Diphtheria, Tetanus Toxoid, and Pertussis Vaccine (DTP3) Coverage missing data",Pandemic Preparedness,Pandemic Preparedness missing data,Treaties,Treaties missing data,Duration of Export Restrictions on Food and Health Products,Duration of Export Restrictions on Food and Health Products missing data,Number of Health and Food Products covered by Export Restrictions,Number of Health and Food Products covered by Export Restrictions missing data,Tobacco Supply Chains,Tobacco Supply Chains missing data,Financial Contributions to the UN DPO,Financial Contributions to the UN DPO missing data,Monetary Equivalent Value of UN Troop Contributions,Monetary Equivalent Value of UN Troop Contributions missing data,Monetary Equivalent Value of Non-UN Troop Contributions,Monetary Equivalent Value of Non-UN Troop Contributions missing data,Female Peacekeepers,Female Peacekeepers missing data,Sea Lanes Protection,Sea Lanes Protection missing data,Arms Trade Volume,Arms Trade Volume missing data,Conflict Potential of Arms Exports,Conflict Potential of Arms Exports missing data,International Security Conventions,International Security Conventions missing data,Government Support,Government Support missing data,Tax Incentives,Tax Incentives missing data,Foreign Students,Foreign Students missing data,Female Students,Female Students missing data,Research Collaboration,Research Collaboration missing data,Intellectual Property Rights,Intellectual Property Rights missing data,year
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,0,17.7305442,0.013589464,0,4,0,1.5,0,86.02882006,0,40,1,23.43579682,0,-0.051360391,0,66,0,100,0,40,0,77,0,0,0,0,0,29.5,0,66.66666667,0,3,0,1,0,1,0,14.89361702,0,24.54305344,0,0.167484632,0,64.12695478,0,0.091000121,0,10,0,58,0,3.72963964,0,11.26518243,0,0.179364701,0,2.7,0,2.8,0,0.223376933,1,7.347355697,0,12.41040056,0,0.73554739,0,-0.273667006,0,2.749690506,0,2.096690003,0,0.001147008,0,0.001217754,0,0.00070411,0,8.90481E-05,0,0.003501902,0,0.592096456,0,-0.467601667,0,5.5,0,12.93972603,0,48.53346496,0,10,0,54,0,66,0,2.5,0,5.333333333,0,715.1217391,0,115,0,0,0,0.001482302,0,0.00424447,0,8.53496E-06,0,14.47201466,0,0,0,0.602801017,1,8.220261372,1,8,0,0.337028886,0,-0.002806118,0,5.687588049,0,60.98923539,0,0.083027143,0,55,0,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,70.76763103,58.05492341,0.175704656,0,4,0,8,0,21.82808453,0,85.1093482,0,35.7119,0,1.384079,0,20,0,100,0,10,0,38,0,0,0,0,0,0,0,66.66666667,0,4,0,4,0,2,0,29.20792079,0,24.54305344,0,1.561364158,0,52.09228307,0,1.111821817,0,0,0,65,0,0.176531532,0,0,0,2.785929803,0,3.7,0,4.1,0,0.179272727,0,19.23935408,0,28.64431341,0,0.110435528,0,-1.811703324,0,2.324218943,0,12.51904468,0,39.21903507,0,0.004330009,0,6.51655E-05,0,2.9128E-12,0,0.000644823,0,0,0,-2.23462651,0,7.5,0,21.55068493,0,16.25271576,0,28,0,93,0,94,0,3,0,5.333333333,0,0,0,0,0,3.307692308,0,0.008291939,0,0.001087189,0,0.001288031,0,29.74238876,0,0.011345446,0,0.413378667,0,4.768867925,1,9,0,0.401507482,0,0.155133399,0,52.11043129,0,48.27521977,0,0.080512122,0,54,0,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,82.80843613,80.66588142,0.271653475,0,3,0,8,0,60.03232031,0,57.59468626,0,37.93686,0,0.7512265,0,30,0,0,0,20,0,31,0,0,0,0,0,14,0,33.33333333,0,3,0,2,0,1,0,17.27272727,0,23,0,3.977138807,0,50.25561895,0,29.15155138,0,0,0,46,0,0.310306122,0,0.548090816,0,11.63264413,0,3.7,0,3.9,0,0.229904762,0,7.660844935,0,34.02685904,0,-0.758514716,0,2.425982162,0,0.386809945,0,0.128935778,0,0,0,0.001034161,0,0.001855656,0,6.67874E-05,0,0.000212783,0,29.51545415,0,0,0,8,0,11.03971761,0,17.1025542,0,20,0,94,0,84,0,0,0,6.333333333,0,556.0909091,0,11,0,5.769230769,0,0.008650263,0,0.011096631,0,0.017153757,0,5.078256953,0,0,0,0.154877993,0,2.55450449,0,9,0,1.075642353,0,0.287216424,0,12.81092061,0,54.18158062,0,0.061473418,0,40,0,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,72.81139034,68.68701162,0.396826018,0,4,0,8,0,64.72262126,0,46.81818182,0,79.25064,0,2.011853,0,17,0,0,0,20,0,26,0,0,0,0,0,17.5,0,33.33333333,0,5,0,4,0,0,0,16.66666667,0,3,0,4.023384197,0,48.97240654,0,14.62932144,0,20,0,69,0,0.310306122,0,0.548090816,0,13.30900038,0,3.9,0,4.1,0,0.2315,0,8.276583355,0,34.02685904,0,0.017090165,0,8.820848823,0,0.323469081,0,0.002387301,0,0,0,0.005699156,0,0.003047415,0,0,0,0.00034903,0,17.23627617,0,1.917249617,0,9,0,20.60170547,0,44.02066422,0,38,0,82,0,98,0,1,0,6.333333333,0,630.1578947,0,19,0,5.538461538,0,0.008293215,0,0.001806948,0,0.002224735,0,5.065234075,0,0.015547575,0,0.394992077,0,4.390752387,0,9,0,0.579646131,0,0.346057429,0,16.07256877,0,58.6488959,0,0.070571019,0,40,0,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,28.65432015,56.69429374,0.015015038,0,1,1,6,0,58.14402264,0,51.53846154,0,19.44682855,0,-0.091255153,0,57,0,100,0,20,0,52,0,0,0,0,0,14,0,66.66666667,0,3,0,2,0,1,0,77.08333333,0,24.54305344,0,0.173878431,0,45.90426139,0,1.151251117,0,10,0,64,0,3.658108108,0,10.37878919,0,1.969544386,0,2.9,0,3.2,0,0.256772727,0,5.74965193,0,38.56278707,0,1.881274614,0,-0.165688767,0,3.100420778,0,0.212661915,0,0.046713439,0,0.00167124,0,0.000403076,0,0.000126277,0,6.03335E-05,0,0,0,36.01678744,0,6.5,0,18.56164384,0,51.17158276,0,10,0,64,0,90,0,1,0,6,0,732,0,19,0,5.538461538,0,0.00124313,0,0.000339921,0,0,0,17.13665944,0,0,0,0.061581834,0,2.349143756,1,8,0,0.629012499,0,0.070243928,0,0.674296732,0,46.0613039,0,0.077130662,0,55,0,2025
